user_id,plan_type,start_date,end_date,monthly_fee,actual_usage,billed_amount,discount,status
fe794379-7b09-4893-a0d2-a71a49e9a6ca,Premium,2025-07-15,,2000,1,1195,479.0,active
fa25789d-941c-4402-8d85-b557c37414f9,Basic,2025-06-21,,800,1,800,213.0,active
dc9cf68c-0f5e-49c6-9fe2-e31c8aa5c559,Premium,2024-12-08,,2000,8,16000,0.0,active
ecd53f76-8bda-4835-bd05-86c50d0b2aea,Basic,2024-09-15,,800,11,8800,0.0,active
e2e7328b-4adf-4659-9171-f816dfae6adc,Basic,2025-06-02,,800,2,1600,267.71,active
8124de94-918c-4201-b788-0339ec2ec504,Basic,2025-04-04,,800,4,3200,0.0,active
1ed707fe-3fd3-431f-ac23-91a5dece15d7,Standard,2024-10-22,,1200,9,7716,0.0,active
3b581c79-0b8b-4d10-ad4e-65a47650ada9,Standard,2025-04-02,2025-08-30,1200,5,4484,0.0,churned
b27a1117-e5bf-4262-a4a4-fc63cba40a05,Premium,2024-11-04,,2000,9,18000,0.0,active
e4c08b6f-66b4-45f2-9060-05a254bcaa0c,Standard,2025-05-15,,1200,2,2031,0.0,active
7d1b2175-00a9-449b-86f4-163e87e8e7e5,Standard,2024-09-02,,1200,11,13200,0.0,active
231e1fca-be85-45aa-a911-178e830ffed5,Basic,2024-09-12,,800,11,6806,1407.67,active
9163b40e-fdf9-4ec5-a651-75f78d060d4d,Basic,2024-09-14,,800,11,8800,0.0,active
14ce13d7-4cdc-4395-b786-1705e7a9c687,Premium,2025-03-03,,2000,5,10000,0.0,active
f2ea884a-b260-4cf1-b780-47f8b28885b8,Basic,2024-10-31,,800,9,7200,0.0,active
e364382a-767f-490e-af9d-3e2e833b05f0,Standard,2024-08-16,2025-06-12,1200,10,7510,0.0,churned
782104d4-92c7-4cb2-82d7-213886b40576,Standard,2025-06-07,,1200,2,2400,487.0,active
a8a93bcc-2be1-4e33-ab92-d18a4e7c59dc,Premium,2025-03-07,,2000,5,10000,0.0,active
30ed2d5b-506b-4028-b882-b251d6d6d002,Standard,2024-12-04,,1200,8,0,224.0,active
